Date,SP500,cpi
2016-03-01,-1403.1908537003221,3.9700695797313017
2016-03-02,-1393.5798326326797,3.74874920488719
2016-03-03,-1381.8457956321292,3.4785405091493544
2016-03-04,-1372.190500936087,3.256200611409156
2016-03-07,-1364.608221477441,3.0815976300870034
2016-03-08,-1360.8634953993126,2.995364942272971
2016-03-09,-1355.7627009463652,2.8779050249151794
2016-03-10,-1350.636208785892,2.759853346679762
2016-03-11,-1345.1598076438054,2.6337440451775365
2016-03-14,-1338.1352416612465,2.47198396105793
2016-03-15,-1331.984728980457,2.330351374632869
2016-03-16,-1326.5918715388211,2.2061658981820926
2016-03-17,-1319.9836293389742,2.0539928220398735
2016-03-18,-1311.603701058363,1.8610217677492926
2016-03-21,-1306.372936178275,1.7405689213935602
2016-03-22,-1301.8491284820589,1.6363957218965766
2016-03-23,-1298.756381486932,1.565176657923871
2016-03-24,-1296.18920839949,1.5060603885906119
2016-03-28,-1293.6691593985088,1.4480292818437306
2016-03-29,-1288.2598791342884,1.3234656244249834
2016-03-30,-1282.9262972731058,1.2006451323595968
2016-03-31,-1277.9154796644873,1.0852571810056304
2016-04-01,-1274.2818639183502,1.9138248910620064
2016-04-04,-1270.9620391481053,1.8373767324952723
2016-04-05,-1268.8740219586562,1.7892943545879234
2016-04-06,-1266.0576299233976,1.724439128846086
2016-04-07,-1265.9633643164825,1.7222684022073054
2016-04-08,-1266.1047627268545,1.7255244921654764
2016-04-11,-1266.7910170425534,1.7413273981543114
2016-04-12,-1265.939819707247,1.7217262223801129
2016-04-13,-1262.675687831636,1.646560546936655
2016-04-14,-1259.3308539966383,1.5695364853990554
2016-04-15,-1256.2116857832239,1.4977089997098574
2016-04-18,-1253.4031390453779,1.4330344336661085
2016-04-19,-1250.7716868211332,1.3724379592066782
2016-04-20,-1247.7253578356995,1.3022877984475372
2016-04-21,-1246.3900010460507,1.2715375105066755
2016-04-22,-1244.5726117493582,1.2296870892506035
2016-04-25,-1241.5291332219845,1.1596025681817537
2016-04-26,-1239.7410330356333,1.1184266097984903
2016-04-27,-1235.9391931923387,1.0308787193825424
2016-04-28,-1233.924721307637,0.9844899257780639
2016-04-29,-1232.2601584045478,0.9461587554403366
2016-05-02,-1230.839669939361,1.4785978586486124
2016-05-03,-1232.200009642771,1.5099234473613024
2016-05-04,-1234.460832583236,1.5619851562180713
2016-05-05,-1236.6102697344313,1.6114818988282877
2016-05-06,-1239.2667223064318,1.6726540755255428
2016-05-09,-1242.2737899368126,1.7419001348623624
2016-05-10,-1243.5598782587085,1.7715158798993969
2016-05-11,-1245.4893681384347,1.8159477275078189
2016-05-12,-1247.4509888695652,1.8611194769463282
2016-05-13,-1250.3916416988468,1.9288361515725114
2016-05-16,-1252.179741885198,1.9700121099558032
2016-05-17,-1255.6031158642963,2.048844775804014
2016-05-18,-1257.6154433677052,2.0951841890910146
2016-05-19,-1259.4192515828763,2.1367218683364513
2016-05-20,-1261.4979764533905,2.184590264868092
2016-05-23,-1262.5926918203936,2.209799117670258
2016-05-24,-1260.8117395716854,2.168787760345225
2016-05-25,-1257.9617696634996,2.1031593110956806
2016-05-26,-1255.6080932696545,2.0489593943457862
2016-05-27,-1252.7252777163003,1.9825745831603285
2016-05-31,-1251.828368448068,1.9619207635454075
2016-06-01,-1249.3229965092696,2.569403930916991
2016-06-02,-1246.384496778278,2.5017368373412694
2016-06-03,-1242.6340697840292,2.4153728701466264
2016-06-06,-1239.581307654717,2.3450745684350807
2016-06-07,-1234.9453993754673,2.2383199425857185
2016-06-08,-1229.840316159934,2.120761264593
2016-06-09,-1224.4531770684125,1.9967074689888022
2016-06-10,-1221.329005298648,1.924764762558823
2016-06-13,-1219.113876857115,1.87375529607678
2016-06-14,-1219.1667192936893,1.8749721395097652
2016-06-15,-1220.5263616373304,1.906281669582654
2016-06-16,-1221.3911400541583,1.9261955873675163
2016-06-17,-1223.3791907205732,1.9719759592555022
2016-06-20,-1224.3574993079633,1.9945042236043662
